Datetime,Tweet Id,Tweet,Media,Username,,Tweets,Ano,
2021,"1,39319530068105E+018",@_enzorodriguesz O frango congelado q tá no freezer aqui de goma pai,,Guiononato,,,,
2021,"1,39280127018504E+018",@_franfaria_ Kkkkkkkkk tô assim desde de domingo fran,,Guiononato,,,,
2021,"1,39267344497895E+018","@_franfaria_ Eu sem paia, vc sem beber água, vamo?",,Guiononato,,,,
2021,"1,3925527327882E+018","3 dias sem fuma paia, quem quer competir?",,Guiononato,,,,
2021,"1,39229693446812E+018",@RafaelC31534378 Vira militar mano beiço,,Guiononato,,,,
2021,"1,39181333640532E+018",@fred_lopesT Hoje não fumei nada nem ontem a noite kkkkkk tamo bem,,Guiononato,,,,
2021,"1,39181325459965E+018",@HTurssi Ai sim meu barato!,,Guiononato,,,,
2021,"1,39178621395941E+018",Será que finalmente chegou minha hora de para de fuma paia?,,Guiononato,,,,
2021,"1,39072129013534E+018",@souzapetilli Eu falei pra vc assistir antes,,Guiononato,,,,
2021,"1,3907070110887E+018",@marcottke1 Melhor coisa,,Guiononato,,,,
2021,"1,39070477037416E+018",@_franfaria_ Vai Francisco frouxo,,Guiononato,,,,
2021,"1,39005786988258E+018","@MecBrunao @uphiago Boa Brunão, mandou mto nessa",,Guiononato,,,,
2021,"1,38963864546904E+018",@Nandamatos09 KKKKKKKKK,,Guiononato,,,,
2021,"1,38954606347276E+018",@Nandamatos09 Everton vai tá em peso fazendo sapecagem,,Guiononato,,,,
2021,"1,38954589450948E+018",@ViniMassarii KKKKKKKKKK tá demorando o mesmo tempo pra eu conseguir qualquer um dos dois,,Guiononato,,,,
2021,"1,38861353263635E+018",@joaoreisse As suas tem que ser mais elaboradas 🤔,,Guiononato,,,,
2021,"1,38861343285382E+018",@Nandamatos09 🙏🙏,,Guiononato,,,,
2021,"1,38850105784889E+018","N Posso beber man, mando umas msg mto Nd v kkkkkk passando vergonha",,Guiononato,,,,
2021,"1,38821503404473E+018",@LevesLucas #miojonobbb,,Guiononato,,,,
2021,"1,38789792546908E+018",@videonosense @RafaelC31534378 ó nois ai,,Guiononato,,,,
2021,"1,38740471010211E+018",Pq q eu curto qnd a pessoa n da atenção? Kkkk tá difícil,,Guiononato,,,,
2021,"1,38723806701105E+018",@RafaelC31534378 Slc esse guento hj em,,Guiononato,,,,
2021,"1,38611735006843E+018",@souzapetilli Man tem uma hr q é impossível n chorar,,Guiononato,,,,
2021,"1,38595024109924E+018",@souzapetilli Começou the office ent? 🤔🧐🧐,,Guiononato,,,,
2021,"1,38556062549824E+018","@lucasmiranda_zz Apenas de finais de semana, para equilibrar as moléculas!",,Guiononato,,,,
2021,"1,38532523193448E+018",@Nandamatos09 Eles demoraram porque sabem que tem um oponente como você.... que irá aniquilar a prova. Confia. Confiei. Confiaste.,,Guiononato,,,,
2021,"1,38459015915754E+018",@thalesrampone_ Vai q da bom,,Guiononato,,,,
2021,"1,38350912493621E+018",@lascoolo Mandou mto mano lasco,,Guiononato,,,,
2021,"1,38277040003214E+018",@Gipavanelli_ Kkkkkkkkkkk,,Guiononato,,,,
2021,"1,38276553499176E+018",@Gipavanelli_ 🤔,,Guiononato,,,,
2021,"1,37769341901176E+018",Qq custa mora perto?,,Guiononato,,,,
2021,"1,37649022508664E+018","@anacruzzs Faltou o “na” no Rita lee, a senhora esqueceu",,Guiononato,,,,
2021,"1,37649000136247E+018","@Nandamatos09 Paixão não, alguém pra ver vídeo tosco no YouTube 🥰",,Guiononato,,,,
2021,"1,37648587093354E+018","Boa sorte pra geral ai com o enem, tô na torcida",,Guiononato,,,,
2021,"1,37508098456833E+018",@Nandamatos09 Nao,,Guiononato,,,,
2021,"1,37412532134414E+018",@jmanzini_ Sun is down freezing cold uma dica,,Guiononato,,,,
2021,"1,37378062423073E+018","@aventura_do Roi, adam sandler né? 🥰",,Guiononato,,,,
2021,"1,37378054219016E+018",@Nandamatos09 Boa time! Sentido!,,Guiononato,,,,
2021,"1,37378050208003E+018","@souzapetilli Guilherme lovato, primo da demi",,Guiononato,,,,
2021,"1,37364550161102E+018",Ta difícil alg da em cima de mim pqp,,Guiononato,,,,
2021,"1,3729554428009E+018",@cardosogi4i20 Kkkkkkkkkkkkk,,Guiononato,,,,
2021,"1,37295463996079E+018",@jmanzini_ @tainacasag Ê joao em!,,Guiononato,,,,
2021,"1,37295450862874E+018",@thalesrampone_ Melhor série de comédia sem discussões,,Guiononato,,,,
2021,"1,37295414499936E+018",@Nandamatos09 @EuMylenaAlves KKKKKKKKKKKKK para vai,,Guiononato,,,,
2021,"1,37274919748155E+018",@RafaelC31534378 E como em 06!,,Guiononato,,,,
2021,"1,37258718249447E+018",Qq custa eu ser assim? https://t.co/NJGTI9LUPC,,Guiononato,,,,
2021,"1,37258691691119E+018","@jmanzini_ @_franfaria_ Dois imbecis, atrd 61 Nonato, tenham mais respeitos com as pessoas acima de vcs!",,Guiononato,,,,
2021,"1,37252680252722E+018",@souzapetilli Ronaldo em um universo reverso,,Guiononato,,,,
2021,"1,37252648559727E+018","@jmanzini_ Ai João, você é tão meigo!",,Guiononato,,,,
2021,"1,37237628439174E+018","@_franfaria_ Nenhum sonho é bobo, Francisco!",,Guiononato,,,,
2021,"1,37233323228549E+018",@Ale_fiochi @jmanzini_ @dudamaaceedo O cara é uma máquina,,Guiononato,,,,
2021,"1,37225278547185E+018",@chiksterr_ C é foda Chico,,Guiononato,,,,
2021,"1,37225265003778E+018",@souzapetilli BOA PORRAAAAAA eu falei man,,Guiononato,,,,
2021,"1,37113881836404E+018",Tô namorando,,Guiononato,,,,
2021,"1,37070162818619E+018","@momomotoca Num faz man, juro",,Guiononato,,,,
2021,"1,37045563654737E+018",@lleozinnobeat Fiz mais 150 abdominais extras,,Guiononato,,,,
2021,"1,37008243702013E+018",Quero gente nova kd,,Guiononato,,,,
2021,"1,36998105257656E+018",@lleozinnobeat É só começo,,Guiononato,,,,
2021,"1,36998078350354E+018",@Nandamatos09 @caismila N adianta tenta escapar Fernanda,,Guiononato,,,,
2021,"1,36970231199246E+018",@ViniMassarii Se fosse seria perfeito,,Guiononato,,,,
2021,"1,36912547543667E+018",@lucasmiranda_zz Viva esses dias rock&amp,roll 😎 joia 👍.,,Guiononato,,,
2021,"1,369061534434E+018","@momomotoca @souzapetilli Acho uma questão muito mais complexa que essa, por exemplo temos Dwight e Michael. Esse é meu argumento",,Guiononato,,,,
2021,"1,36904847250729E+018","@_franfaria_ Fala fran, mandou muito nessa!",,Guiononato,,,,
2021,"1,36904822353345E+018",@souzapetilli Mentira q c perguntou isso,,Guiononato,,,,
2021,"1,36750023601338E+018",@marcottke1 KKKKKKKKKKKKKKKKKKKKKKK só qm sabe sabe,,Guiononato,,,,
2021,"1,36723284626024E+018",@thalesrampone_ @RafaelC31534378 Sorta pra nois kkkkkk,,Guiononato,,,,
2021,"1,3672314471327E+018",@thalesrampone_ @RafaelC31534378 Q campo locao KKKKKKKKKK,,Guiononato,,,,
2021,"1,36617875747263E+018",@Nandamatos09 Verde vômito,,Guiononato,,,,
2021,"1,36570234761637E+018",@leozinnoficial Mais foda do álbum,,Guiononato,,,,
2021,"1,36460194335262E+018",Sou responsável pelo oq eu digo não pelo oq vc entende kkkkkkkk,,Guiononato,,,,
2021,"1,36440629979927E+018",@ariel_aversa @cec_anax +- KKKKKKK,,Guiononato,,,,
2021,"1,36432041320404E+018","@cec_anax 99,74",,Guiononato,,,,
2021,"1,36425479378348E+018",@jmanzini_ Mama vai jao,,Guiononato,,,,
2021,"1,36371712408728E+018","@Cachorro1337 99,83",,Guiononato,,,,
2021,"1,36371631691028E+018",@souzapetilli All in,,Guiononato,,,,
2021,"1,36327781594533E+018",@Nandamatos09 E peidar n é cagar,,Guiononato,,,,
2021,"1,36307690922831E+018",Queria,,Guiononato,,,,
2021,"1,36259644641188E+018",@RafaelC31534378 Nois conhece mto kkkkkk,,Guiononato,,,,
2021,"1,36253856283147E+018","@RafaelC31534378 Sargento*, sim, dei uma excelente aula",,Guiononato,,,,
2021,"1,36061255029615E+018",@Nandamatos09 Grau? Posso te ensinar 😎,,Guiononato,,,,
2021,"1,35995119908522E+018",@araujo_iness Era um dos meus preferidos,,Guiononato,,,,
2021,"1,35910001331033E+018",@HTurssi Juro mano c n tá entendendo como eu tô,,Guiononato,,,,
2021,"1,35908470343382E+018",Não sei nem como expressar minha raiva,,Guiononato,,,,
2021,"1,35662807459969E+018",@RafaelC31534378 Me avisa qq vai acontecer,,Guiononato,,,,
2021,"1,35661835304194E+018",Alg me explica qual é a brisa dessa Karol e pq todo mundo ta revoltado kkkkkkkk,,Guiononato,,,,
2021,"1,35636513049013E+018",@frannncissco N chamo nois pro rolê tmb n mor cuzao,,Guiononato,,,,
2021,"1,3562785043762E+018",@Nandamatos09 Se for qm eu tô pensando kkkkkkk melhor ir com o outro q o pai falou 😬,,Guiononato,,,,
2021,"1,35627817137779E+018",@Nandamatos09 Volto o fogo,,Guiononato,,,,
2021,"1,35515879938085E+018",@rafaela3006 Q baguio estranho :|,,Guiononato,,,,
2021,"1,3545256111429E+018",Só tem bbb no meu feed q baguio chato,,Guiononato,,,,
2021,"1,35410469636612E+018",@chiksterr_ Boa chicooo c é foda,,Guiononato,,,,
2021,"1,35409886096936E+018",Por 3 pontos vtnc,,Guiononato,,,,
2021,"1,35409454031616E+018",@souzapetilli C tá bonito em,,Guiononato,,,,
2021,"1,35385205606338E+018",@Breno_Sverzut Quando?,,Guiononato,,,,
2021,"1,35371429908519E+018",@rafaela3006 Primeira vez q é vc é não eu KKKKK,,Guiononato,,,,
2021,"1,35333574042448E+018",@rafaela3006 Oq fazer qnd ela n te chama? 🤔,,Guiononato,,,,
2021,"1,35227691764752E+018",Ia ser legal se acontecesse né kkk,,Guiononato,,,,
2021,"1,35207750204335E+018",@gi_aciari Muito maissss,,Guiononato,,,,
2021,"1,35120348911704E+018",Meu presente de aniversário eu já tenho em casa,,Guiononato,,,,
2021,"1,34942183295753E+018",@chiksterr_ Passamo fodasse,,Guiononato,,,,
2021,"1,34897970820619E+018","@Nandamatos09 Num é muito difícil ganhar de vc, mas depende 😴",,Guiononato,,,,
2021,"1,34720889281677E+018",@Nandamatos09 C ta usando drogas?,,Guiononato,,,,
2021,"1,34683140741548E+018",@momomotoca Tmj vlw ai,,Guiononato,,,,
2021,"1,34662954548764E+018",@rafaborges____ Espero rafaa,,Guiononato,,,,
2021,"1,34662950949639E+018",@HTurssi Prefiro lubri!,,Guiononato,,,,
2021,"1,34660887367171E+018","@ana_possatto Vlw ana, espero que de tmbb",,Guiononato,,,,
2021,"1,3466025193263E+018",@mavifukaya Espero q de porém sem esperanças,,Guiononato,,,,
2021,"1,34659791577149E+018","Unicamp vai arromba meu cu amanhã kkkkkkkkkkkk:,)",,Guiononato,,,,
2021,"1,34627506844015E+018",@Nandamatos09 🤌🏼,,Guiononato,,,,
2021,"1,34626190844647E+018",@Nandamatos09 Chapei kkkkkk daqui alguns messes memo,,Guiononato,,,,
2021,"1,34625681951418E+018",@Nandamatos09 Só vai da nois ano q vem graças a vc,,Guiononato,,,,
2021,"1,3456548194413E+018",@marcottke1 Gottcha,,Guiononato,,,,
2021,"1,34564848401222E+018",@marcottke1 What u doing up so early f,,Guiononato,,,,
2021,"1,34564830098115E+018",@marcottke1 Yessirski,,Guiononato,,,,
2021,"1,3454696192016E+018",@momomotoca Nao .,,Guiononato,,,,
2020,"1,34435534110713E+018",@Nandamatos09 @MarinaBraga21 Não         Rouba.        A.          Minha.          Mão,,Guiononato,,,,
2020,"1,34435521080272E+018",@momomotoca Gostei em,,Guiononato,,,,
2020,"1,3443550352836E+018",@Nandamatos09 Ent vc se odeio? Pq c é chata pra caralh,,Guiononato,,,,
2020,"1,34398739536092E+018",@Nandamatos09 Essa história de vestibular aí mando de corno,,Guiononato,,,,
2020,"1,34398730809003E+018",@fred_lopesT Você sabe fazer um ótimo boutique?,,Guiononato,,,,
2020,"1,34398712107022E+018",@momomotoca Acontece que me tornei um deles 😔,,Guiononato,,,,
